crude_oil_type,cost_per_barrel_today,purchase_location,refinery_location,lead_time_days,refinery_processing_time_days,production_cost,method_of_moving,method_capacity,number_of_barrels,delivery_method,delivery_time_days,delivery_location,delivery_capacity,optimized_cost
Type C,54.01168728308211,Location 2,Refinery 3,19,6,74.48090536249845,Ship,1335.1638901930464,475,Pipe,2,Customer A,3781.0965317776677,122.81970769686168
Type A,76.22556947851274,Location 2,Refinery 3,22,3,34.55469596442951,Rail,3572.243974160119,448,Road,11,Customer B,2375.4143021703176,79.04428938498002
Type C,70.51984134948307,Location 2,Refinery 2,5,7,25.478528152680212,Road,4050.136151102139,370,Road,2,Customer A,3775.522754833289,66.42631017930213
Type C,99.11893084543033,Location 3,Refinery 3,27,9,39.12137623943141,Pipe,3339.7235759148866,582,Road,1,Customer C,4536.829407317275,120.18778378391639
Type A,55.60194510840262,Location 3,Refinery 1,2,3,26.280558232132,Pipe,2064.926005995241,210,Rail,10,Customer C,2888.466976932964,79.17708631412235
Type A,69.89277995228709,Location 2,Refinery 2,15,2,27.71578915763315,Rail,1125.3706754354669,968,Ship,2,Customer B,2531.6373127191428,90.40395334026772
Type C,98.47352166376845,Location 1,Refinery 1,7,7,54.4310358785016,Ship,1477.795535857143,986,Rail,13,Customer B,2004.6336054331427,140.49313155078562
Type B,93.27535629469901,Location 3,Refinery 2,4,7,23.6541159859696,Ship,3489.211916296105,175,Road,7,Customer B,3416.8219194532167,81.65113254435768
Type C,90.85360354746399,Location 1,Refinery 3,1,4,21.855852883613963,Pipe,4737.680867370054,257,Road,9,Customer B,4519.408192154864,66.15184496135399
Type C,62.895141352246995,Location 3,Refinery 2,13,9,62.86484608822987,Rail,1826.1376158880257,631,Road,6,Customer A,2298.645068740776,124.57470082051873
Type C,58.54437936950329,Location 2,Refinery 2,20,8,41.69882569046267,Pipe,3940.104596420395,742,Rail,10,Customer A,2584.942098149214,78.29284577963044
Type C,83.43216099622154,Location 3,Refinery 1,22,1,27.522520954032395,Road,4465.804252996166,428,Road,2,Customer C,2626.5020701999356,70.07387025236926
Type A,96.46879945637929,Location 2,Refinery 1,7,1,35.2167662515825,Road,3083.528713790044,221,Pipe,12,Customer B,3243.2493671100688,110.67087894904729
Type C,77.83814465069649,Location 3,Refinery 2,15,5,58.52519044114394,Rail,3677.063183374631,140,Road,10,Customer B,1913.6358462697544,112.00665968869977
Type B,78.580634473495,Location 2,Refinery 3,23,6,36.53219402845107,Rail,4260.0612667045925,266,Ship,10,Customer A,4288.844621230817,88.21915496815926
Type A,63.998954683014205,Location 2,Refinery 3,14,3,49.67126750722447,Road,2042.7006309623744,741,Pipe,13,Customer B,2182.4091100168853,97.72201171341278
Type B,88.47464665959684,Location 2,Refinery 1,23,9,27.301718403600336,Ship,2187.582697072172,122,Road,9,Customer C,3821.4507635867276,105.05098659933837
Type B,59.35218742787617,Location 2,Refinery 3,19,6,55.28561825632682,Rail,1002.5100665138247,378,Pipe,7,Customer C,3052.862967118208,116.59804118519274
Type B,66.18396182021218,Location 1,Refinery 1,22,4,38.96466103059585,Road,4852.376523591211,862,Road,11,Customer B,3343.5904134110274,66.05904430475454
Type B,71.27182193082083,Location 2,Refinery 3,29,7,57.61810607172299,Road,4670.1795783853795,568,Ship,1,Customer C,1718.4349553092115,105.3512921391357
Type A,75.38051893422275,Location 1,Refinery 2,24,8,68.50369293824137,Ship,4058.2730550377214,499,Road,12,Customer C,3940.0927927126822,114.7217029414586
Type A,62.12048662075401,Location 1,Refinery 1,20,9,56.69878516339955,Ship,1316.3040839065925,108,Pipe,9,Customer A,1754.4820761705246,108.62240908094618
Type B,55.74184123696018,Location 2,Refinery 1,29,6,37.74485375570124,Ship,2790.0115587980326,112,Ship,2,Customer C,1453.8945505097565,75.37929468786669
Type B,80.53100212208163,Location 1,Refinery 2,24,6,35.34462209289802,Ship,1407.5670158862113,918,Rail,4,Customer B,3186.717999555148,109.41013719199321
Type A,64.43152766201278,Location 3,Refinery 1,18,8,39.64525752400688,Pipe,1063.6810690511943,931,Ship,9,Customer B,3837.188547670661,103.52323412739109
Type A,79.06191107113061,Location 2,Refinery 3,10,5,29.87723079419029,Ship,3464.7318608503892,151,Ship,4,Customer C,1200.143345739027,81.87215342466362
Type A,57.718135763710116,Location 1,Refinery 3,9,3,30.870311051001202,Pipe,4843.317668320754,308,Ship,3,Customer B,1277.5812597621684,45.82427231488024
Type C,74.05700509274087,Location 2,Refinery 1,25,3,67.44146611401007,Rail,4611.4720937286,649,Pipe,1,Customer A,4210.716650823676,111.08829525792505
Type C,76.62947162757929,Location 2,Refinery 3,8,6,43.083954590446695,Road,3787.0192597416176,711,Ship,7,Customer C,4236.130798029328,86.38183350035641
Type C,52.591176841121346,Location 2,Refinery 1,26,2,46.15971083423515,Pipe,1386.5623366594857,804,Road,6,Customer C,1981.2188682363249,97.40072933505844
Type B,66.83021390969603,Location 1,Refinery 2,29,6,55.64296793400867,Rail,2096.6561506892003,501,Ship,10,Customer C,3460.912811200814,126.56592020832281
Type C,56.72073384694871,Location 3,Refinery 1,10,6,55.379209709092855,Rail,2280.226907541164,290,Ship,4,Customer B,2772.7203005786378,102.1244623369343
Type B,53.168748523638385,Location 3,Refinery 2,17,8,24.042612291315542,Pipe,4052.6002309822447,150,Road,6,Customer B,3530.7841656140517,49.626860914654316
Type B,99.49801161949726,Location 1,Refinery 3,2,7,69.89244718025994,Rail,4208.996716940456,492,Road,6,Customer C,4451.5171363969,134.98384400873877
Type C,66.11769224873615,Location 2,Refinery 2,6,8,30.639593193436365,Rail,2540.4244919596817,752,Rail,13,Customer B,1319.425698329026,67.12196469510721
Type B,90.49372229273175,Location 1,Refinery 3,26,9,63.38429816298013,Pipe,2671.5359864704387,779,Ship,4,Customer B,4111.937703953818,138.74996749643026
Type C,62.732032738188195,Location 1,Refinery 1,5,6,66.36025928769,Rail,1178.0361571046853,922,Pipe,14,Customer C,2972.116418084157,119.45091288480398
Type C,84.07513611119646,Location 1,Refinery 3,28,3,62.89397204547882,Ship,2156.546873675044,720,Ship,13,Customer C,3256.507775047986,136.24980960982984
Type A,88.01139299448432,Location 2,Refinery 1,9,3,54.73865879324871,Ship,2805.14070871056,818,Ship,6,Customer B,3615.725440068481,112.3699581565848
Type C,79.78193703039221,Location 1,Refinery 1,5,1,20.876539826532973,Road,1467.9321855410303,399,Road,10,Customer C,4690.492596516429,90.88187401434384
Type A,73.57880942750792,Location 2,Refinery 2,18,5,41.62252954179024,Rail,2813.0698430200855,721,Rail,11,Customer C,1226.8798142069516,104.49937933552042
Type C,70.59204570736343,Location 1,Refinery 2,26,4,56.29036576175487,Road,4412.703249031201,295,Ship,8,Customer C,1117.9054084977906,96.89133036380949
Type C,67.44341332714977,Location 3,Refinery 2,20,9,43.24707775535232,Ship,3325.2840789002134,516,Pipe,13,Customer C,1713.0471259550939,93.3785605216699
Type A,96.4764572123913,Location 1,Refinery 2,9,9,71.80879369476878,Ship,1315.7194201536493,763,Ship,3,Customer B,4945.790904106946,162.11538693568573
Type A,91.53097038938645,Location 1,Refinery 3,17,5,38.52813652097692,Ship,1766.6852753210974,519,Pipe,4,Customer C,3860.3054695111027,120.18406010876869
Type C,98.25134553332563,Location 3,Refinery 3,27,4,37.61208754751962,Rail,2898.177400634225,854,Road,10,Customer A,3458.5644762180077,126.17764186959161
Type B,56.21486117427724,Location 2,Refinery 3,17,7,35.95986158555948,Rail,2445.9485992872483,739,Rail,13,Customer C,1188.1562136589916,71.17428206292637
Type A,86.54337376018222,Location 2,Refinery 1,12,6,39.966852137647734,Ship,2434.908078184395,716,Ship,12,Customer A,4516.440895571859,100.6441313862582
Type B,96.91702284105189,Location 1,Refinery 3,7,4,53.44429785885123,Road,3117.0697925743607,621,Rail,14,Customer C,4251.027413188638,116.67912366460737
Type B,59.061653308283006,Location 3,Refinery 3,27,2,62.42091765635545,Road,3337.5836863578297,455,Ship,1,Customer A,3659.2001754683397,106.47467399244059
